Term,CRN,Subject,Course Number,Sequence,Title,Credit Hours,Schedule Code,Status,Maximum Enrollment,Actual Enrollment,Seats Available,CrossList Group,CrossList Courses,CrossList Max Enrollment,CrossList Actual Enrollment,Crosslist Seats Available,Primary Instructor Last Name,Primary Instructor First Name,Primary Instructor Username,Instructor2 Last Name,Instructor2 First Name,Instructor2 Username,Instructor3 Last Name,Instructor3 First Name,Instructor3 Username,Begin Time1,End Time1,Building Code1,Room1,Monday1,Tuesday1,Wednesday1,Thursday1,Friday1,Saturday1,Sunday1,Begin Time2,End Time2,Building Code2,Room2,Monday2,Tuesday2,Wednesday2,Thursday2,Friday2,Saturday2,Sunday2,Begin Time3,End Time3,Building Code3,Room3,Monday3,Tuesday3,Wednesday3,Thursday3,Friday3,Saturday3,Sunday3,CIP Code,CIP Description,All Perspectives,Practical Reasoning,Arts Perspective,Social Science Perspective,Western History Perspective,Religion Perspective,Afr Amer Appl Wmn Perspective,International Perspective,Course Fee,Prerequisites
201713,30050,AFR,200S,A,Fem Lit Adptn Jamaica THR WGS,1,L,A,0,0,0,A1,AFR 200S/THR 200S/WGS 200S,0,14,-14,Barton,Adanma,bartonad,Mason,Qrescent,masonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500503,Theatre,(Active Learning Experience; International Perspective),,,,,,,,4130,
201713,30049,AFR,211S,A,Travel Ghana:Afr Mus/Lit (MUS),1,L,A,0,19,-19,M1,AFR 211S/MUS 211S,0,28,-28,Leek,Linda,leekl,Bullock,Kathy,bullockka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500902,Music History & Literature,(Active Learning Experience; International Non-Western),,,,,,,Yes,4100,
201713,30055,APS,286,PH,Entrepreneurial Experience,1,L,A,19,20,-1,,,,,,Hackbert,Peter,hackbertp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50122,Appalachian Studies,,,,,,,,,,
201713,30058,AST,204,A,Yoga (HHP),0.25,L,A,25,4,21,H1,AST 204/HHP 204,25,23,2,Woodie,Stephanie,woodies,,,,,,,1200,1250,S,DA ST,M,T,W,R,,,,,,,,,,,,,,,,,,,,,,,,,,310501,"Health & Physical Ed, General",(PE),,,,,,,,,PEH 100=D- or HLT 100=D- or WELL 101=D-
201713,30034,AST,101S,A,Marketing the Monkey King,1,L,A,30,30,0,,,,,,Wang,Jianfen,wangj,Gray,Gordon,grayg,,,,900,1130,D,100,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,50103,Asian Studies,(International Non-Western),,,,,,,Yes,,
201713,30041,BUS,100S,A,Exploring Business Management,1,L,A,11,9,2,,,,,,Reid,Maurice,reidma,,,,,,,1300,1530,D,114,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,520201,"Business Adm/Mgt, General",(Active Learning Experience),,,,,,,,94,
201713,30037,BUS,200S,A,Acct for Gov & Nonprofit Orgs,1,L,A,25,9,16,,,,,,McCormack,George,mccormacke,,,,,,,1300,1530,D,100,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,520301,Accounting,,,,,,,,,,BUS 130=D-
201713,30019,CFS,186,A,Play Throughout Life Span,1,L,A,20,12,8,,,,,,Mecham,Neil,mechamn,,,,,,,1500,1640,EM,101,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,190301,Family & Community Studies,,,,,,,,,,GSTR 110=D-
201713,30044,CFS,205S,A,LGBTQ Fami after Same-Sex Marr,1,L,A,12,13,-1,,,,,,Hill Zuganelli,Dee,hillzuganellid,,,,,,,1300,1530,EM,102,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,190704,Family Life/Relations Studies,,,,,,,,,,CFS 207=D- or PSC 100=D- or PSY 100=D- or SOC 100=D-
201713,30008,CLS,222,A,Classical Mythology (REL),1,L,A,25,17,8,S2,CLS 222/REL 222,25,26,-1,Carlevale,John,carlevalej,,,,,,,900,1040,D,308,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,161200,Classics,(Arts Perspective; Religion Perspective),,Yes,,,Yes,,,,
201713,30016,ECO,101,A,Principles of Macroeconomics,1,L,A,25,22,3,,,,,,Cupidon,Jean,cupidonj,,,,,,,1300,1440,D,308,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,450601,"Economics, General",(Social Science Perspective),,,Yes,,,,,,MAT 012=S or MAT 012=SC or Mat 011/012 Test Score=WD or Mat 011/012 Test Score=TR or MAT 012ST=S or MAT 012ST=SC or MAT 012 Test Score=TR or MAT 012 Test Score=WD
201713,30040,EDS,100S,A,Teaching Theory and Practice,1,L,A,18,7,11,,,,,,Brooks,Jamiella,brooksjam,,,,,,,900,1130,D,116,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,130101,"Education, General",,,,,,,,,,
201713,30032,EDS,201S,A,Navaho Nation in Arizona (PSJ),1,L,A,14,8,6,E1,EDS 201S/PSJ 201S,14,13,1,Mendel-Reyes,Meta,mendelreyesm,Wong,Penelope,wongp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139999,"Education, Other",(Active Learning Experience; International Non-Western),,,,,,,Yes,1450,GSTR 110:  Writing Sem I Test Score=WD or GSTR 100=D- or GSTR 110=D-
201713,30001,GER,140,A,German Civilization,1,L,A,20,16,4,,,,,,Jones,Douglas,jonesdo,,,,,,,900,1040,D,215,M,T,W,R,F,,,,,,,,,,,,,,,,,,,,,,,,,160501,German Language/Literature,(International Perspective; Western History Perspective),,,,Yes,,,,,
201713,30202,GST,186,CL,Foundations College Success,0.5,L,A,0,10,-10,,,,,,Lakes,Christopher,lakesc,,,,,,,1400,1600,,,,T,,R,,,,,,,,,,,,,,,,,,,,,,,,,,450899,"History, Other",,,,,,,,,,
